,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sankt Petersburg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narwa,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reval,Reval,Wesenburg,Narwa,Johannstadt,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hapsal,Reval,Dorpat,Dorpat,,,,Nowgorod,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arensburg,,Pernau,Pernau,Dorpat,Dorpat,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lemsal,Walk,Walk,,Pleskau,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windau,,,Lemsal,Wenden,Wenden,Rositten,Pleskau,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viborg,Kolding,,,Kopenhagen,,,,,,,,,,,Windau,Windau,Mitau,Riga,Riga,Kokenhusen,Kokenhusen,Rositten,Ostrow,Ostrow,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hadersleben,,,,Kopenhagen,,,,,,,,,,,Libau,Goldingen,Mitau,Mitau,Bauske,Kokenhusen,Dunaburg,Dunaburg,Ostrow,Ostrow,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribe,Schleswig,,,Kopenhagen,,,,,,,,,,,,Memel,Tauroggen,Schaulen,Schaulen,Wilkomir,Bauske,Dunaburg,Dunaburg,Polotsk,Polotsk,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Husum,Kiel,,,,,,,,,,,,,,Memel,Tauroggen,Tauroggen,Kedanen,Wilkomir,Wilomir,Swenziany,Swenziany,Polotsk,Polotsk,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Groningen,Groningen,Aurich,,Hamburg,Kiel,L&#252;beck,,Rostock,Stralsund,,,,,,,,,,Tilsit,Tilsit,Goldap,Kedanen,Kauen,Wilna,Wilna,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amsterdam,,Zwolle,Zwolle,Oldenburg,Bremen,Hamburg,Hamburg,L&#252;beck,Wismar,Rostock,Greifswald,,,,Stolp,Lauenburg,Putzig,,K&#246;nigsberg,K&#246;nigsberg,Wehlau,Wehlau,Goldap,Kauen,Kauen,Wilna,Wilna,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Der Haag,Amsterdam,Amsterdam,Arnheim,Enschede,Oldenburg,Bremen,Verden,L&#252;neburg,L&#252;neburg,Schwerin,Schwerin,Neubrandenburg,Stettin,Stettin,Kolberg,Stolp,Butow,Danzig,Danzig,Elbing,Allenstein,Allenstein,,Lyck,Olita,Olita,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antorf,Antorf,Utrecht,Utrecht,Nimwegen,M&#252;nster,Osnabr&#252;ck,Minden,Hannover,Celle,Salzwedel,Stendal,Havelberg,Oranienburg,Stettin,Stettin,Deutsch Krone,Deutsch Krone,Flatow,Bromberg,Marienwerden,Osterode,Soldau,Soldau,Lyck,Lyck,Grodno,Grodno,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalen,D&#252;nkirchen,Br&#252;gge,Gent,Br&#252;ssel,Br&#252;ssel,Maastricht,Essen,M&#252;nster,Osnabr&#252;ck,Minden,Hannover,Brunswick,Magdeburg,Magdeburg,Brandenburg,Berlin,Berlin,Landsberg,Landsberg,Deutsch Krone,Gnesen,Bromberg,Thorn,Thorn,Zichenau,Pultusk,Pultusk,Bialystok,Grodno,Grodno,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boulogne,Atrecht,Ryssel,Gent,Br&#252;ssel,Maastricht,Aachen,K&#246;ln,Dortmund,Paderborn,Paderborn,Brunswick,Brunswick,Magdeburg,Magdeburg,Wittenberg,J&#252;terbog,Frankfurt an der Oder,Landsberg,Landsberg,Posen,Posen,Dobrin,Dobrin,Plock,Plock,Pultusk,Pultusk,Bialystok,Bialystok,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stadt des Abtes,Amiens,Kambryk,Bergen,Karolingen,L&#252;ttich,Aachen,K&#246;ln,Koblenz,Marburg,Kassel,Kassel,G&#246;ttingen,Halle,Halle,Leipzig,Wittenberg,Frankfurt an der Oder,Glogau,Glogau,Posen,Konin,Konin,Dobrin,Plozk,Warschau,Warschau,Schedlitz,Schedlitz,Brest Litovski,Brest Litovski,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paris,Paris,Rheims,Rheims,Namur,L&#252;ttich,Trier,Koblenz,Koblenz,Marburg,Fulda,Eisenach,Erfurt,Erfurt,Weimar,Leipzig,Dresden,G&#246;rlitz,Glogau,Breslau,Breslau,Kalisch,Kalisch,Petrikau,Petrikau,Warschau,Warschau,Schedlitz,Schedlitz,Brest Litovski,Brest Litovski,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paris,Paris,Paris,Rheims,Rheims,Sedan,Arlon,Luxemburg,Trier,Mainz,Frankfurt,Frankfurt,W&#252;rzburg,Bamberg,Coburg,Plauen,Mei&#223;en,Dresden,Reichenberg,Hirschberg,Breslau,Breslau,Oppeln,Oppeln,Tschenstochau,Petrikau,Kliszow,Sandomir,Sandomir,Lublin,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paris,Paris,Sens,Chalons,Wirten,Metz,Metz,Saarbr&#252;cken,Speyer,Mannheim,Heidelberg,W&#252;rzburg,Bamberg,Bamberg,Bayreuth,Pilsen,Karlsbad,Prag,,Glatz,Glatz,Oppeln,Oppeln,Kattowitz,Klissow,Klissow,Sandomir,Sandomir,Lublin,Zamoshtch,Zamoshtch,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fontainebleau,Fontainebleau,Troyes,Nanzig,Wirten,Nanzig,Metz,Stra&#223;burg,Karlsruhe,Karlsruhe,Heilbronn,Rothenburg,N&#252;rnberg,N&#252;rnberg,Amberg,Pilsen,Prag,Prag,Pardubitz,Pardubitz,,Troppau,Ostrau,Teschen,Krakau,Krakau,Tarnau,Tarnau,Premissel,Premissel,Lemberg,Lemberg,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nemours,Auxerre,Auxerre,Langres,Chaumont,Nanzig,Stra&#223;burg,Stra&#223;burg,Offenburg,Stuttgart,Stuttgart,Ansbach,Eichst&#228;tt,Ingolstadt,Regensburg,Regensburg,Prag,Budweis,Iglau,Olm&#252;tz,Olm&#252;tz,Troppau,Ostrau,Teschen,Krakau,Krakau,Neu-Sandetz,Neu-Sandetz,Premissel,Premissel,Lemberg,Lemberg,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bourges,Clamecy,Autun,Dision,Dision,Epinal,M&#252;hlhausen,Freiburg im Breisgau,T&#252;bingen,Reutlingen,Ulm,Augsburg,Augsburg,Freising,Regensburg,Passau,,Budweis,Br&#252;nn,Br&#252;nn,Olm&#252;tz,Sillein,Sillein,,,Kasmark,,,,,Dolina,Stanislau,Stanislau,Butschatsch,Butschatsch,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Autun,Dision,Dole,Bisanz,Basel,Freiburg im Breisgau,Konstanz,Konstanz,Ulm,Augsburg,Augsburg,M&#252;nchen,M&#252;nchen,Passau,Linz,Krems,Wien,Br&#252;nn,Tyrnau,Tyrnau,Trentschin,Trentschin,Leutschau,,Preschau,Preschau,Ungwar,,,,Stanislau,Chotin,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chalon-sur-Saone,Lons-le-Saunier,Neuenberg,Losanen,Basel,Z&#252;rich,Z&#252;rich,,Bregenz,Innsbruck,Innsbruck,Rosenheim,Rosenheim,Salzburg,Linz,Sankt P&#246;lten,Wien,Wien,Pressburg,Neutra,Neutra,Altsohl,Altsohl,Altsohl,Kaschau,Kaschau,Mukatschewe,Mukatschewe,Chust,Chust,,Chotin,Chotin,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genf,,Bern,Luzern,,Sankt Gallen,,,Brixen,Schwaz,Schwaz,Salzburg,Salzburg,Leoben,Wien,Wien,Pressburg,Komorn,Komorn,Waitzen,Erlau,Erlau,Tokey,Tokey,Lampertshaus,Lampertshaus,Frauenbach,Frauenbach,,,Tschernowitz,Tschernowitz,Kischinau,Kischinau,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leyden,Leyden,,Genf,,Iwrea,,,,,,,,,,Klagenfurt,Graz,Graz,&#214;denburg,&#214;denburg,Gran,Gran,Waitzen,Erlau,Erlau,Debrezin,Debrezin,Sathmar,Sathmar,Frauenbach,Bistritz,Bistritz,,Suczawa,Suczawa,Kischinau,Kischinau,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leyden,,,,Turin,Mailand,Mailand,Walsch-Brixen,,,Trient,Trient,Weiden,Villach,Klagenfurt,Graz,Graz,Steinamanger,Wei&#223;brunn,Wei&#223;brunn,Ofen,Pest,Sollnock,Sollnock,Debrezin,Debrezin,Grosswardein,Klausenburg,Klausenburg,Neumarkt am Mieresch,Neumarkt am Mieresch,Szeklerburg,,Suczawa,Barchau,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turin,Turin,Novara,Mailand,Walsch-Brixen,Dietrichsbern,Dietrichsbern,Treviss,Triest,G&#246;rz,G&#246;rz,Laibach,Marburg,Marburg,Egersee,,,Ofen,Pest,Sollnock,Sollnock,Bekes,Grosswardein,Grosswardein,Klausenburg,Klausenburg,Neumarkt am Mieresch,Neumarkt am Mieresch,Szeklerburg,,Barchau,Barchau,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuneo,Cuneo,Alexandria,Pawei,Pawei,Kremun,Mantua,Padua,Venedig,,Triest,Laibach,Laibach,Agram,Agram,Gro&#223;kirchen,Gro&#223;kirchen,F&#252;nfkirchen,F&#252;nfkirchen,Kollotschau,Segedin,Segedin,Arad,Arad,Diemrich,,Wei&#223;enberg,Sch&#228;&#223;burg,Sch&#228;&#223;burg,Szeklerburg,,Milko,Milko,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nizza,Genua,Genua,La Spezia,Parma,Muden,Ferrara,,,Pula,Pflaum,Pflaum,Agram,Agram,Wirowititz,Wirowititz,Esseg,Esseg,Maria-Theresiopel,Maria-Theresiopel,Segedin,Arad,Arad,Diemrich,Wei&#223;enberg,Wei&#223;enberg,Hermannstadt,Kronstadt,Kronstadt,,Galatz,Galatz,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montpellier,Montpellier,Massilien,Massilien,Cannes,Nizza,,,,Luca,Luca,Bologna,Raben,,,,,Pflaum,Karlstadt,Karlstadt,Poschegg,Poschegg,Esseg,Esseg,Neusatz,Neusatz,Besetsch,Temeschburg,Temeschburg,Eisenmarkt,Eisenmarkt,Hermannstadt,Hermannstadt,Kronstadt,,,Galatz,Galatz,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massilien,Toulon,,,,,,Pisa,Florenz,Raben,Rimini,,,,Zadar,Zadar,Wihatsch,K&#246;nigshafen,K&#246;nigshafen,Tuzla,Tuzla,Zvornik,Belgrad,Belgrad,Semendria,Orschowa,Severin,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pisa,Siena,Florenz,Rimini,Pesaro,,,,Zadar,Knin,Zenica,Zenica,Tuzla,Tuzla,Zvornik,Belgrad,Belgrad,Semendria,Orschowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bastia,,,,Livorno,Perugia,Perugia,Ancona,,,,,Split,Split,Sarajewo,Sarajewo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ajaccio,Bastia,,,,Grosseto,Grosseto,Perugia,,Ancona,,,,,Split,Mostar,Sarajewo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ajaccio,Bonifacio,,,,,Rom,Rom,L'Aquila,,,,,,,Ragusa,Ragusa,Podgorica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rom,Rom,Rom,Chieti,Pescara,,,,,,Ragusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Lissabon,Lissabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,Civita,,,,,,Rom,Rom,,Pescara,Pescara,Sankt Severo,,,,,,,,,,,,,,Adrianopel,Adrianopel,Adrianopel,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Lissabon,Lissabon,,,,,,,,,,,,,,,,,,,,,,,,,,,Sassari,Civita,,,,,,,Terracina,Neapel,Neapel,Benevent,Foggia,Bari,,,,,,,,,,,,,Adrianopel,Adrianopel,Adrianopel,,,Konstantinopel,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oristano,,,,,,,,,,Neapel,,Potenza,Tarent,Brindisi,,,,,,,,,,,,,,,,,Konstantinopel,Konstantinopel,Konstantinopel,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alghero,Cagliari,,,,,,,,,,Salerno,Cosenza,,,Brindisi,,,,,,,Thessalonich,Thessalonich,Thessalonich,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cagliari,Cagliari,,,,,,,,,,,Cosenza,,,,,,,,,,Thessalonich,Thessalonich,Thessalonich,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catanzaro,Crotone,,,,,,,,,Thessalonich,,Thessalonich,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catanzaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trapani,Palermo,Palermo,Milazzo,Messina,,Reggio Kalabrien,,,,,,,,,,,,Athen,Athen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marsala,Agrigento,Caltanissetta,,,,,,,,,,,,,,,Athen,Athen,Athen,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ragusa,Syrakus,,,,,,,,,,,,,,Athen,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syrakus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexandrette,Alexandrette,,,Edessa,Edessa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexandrette,Alexandrette,,,Edessa,Edessa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valletta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antiochien,Antiochien,Aleppo,Aleppo,Edessa,Edessa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tripolis,Tripolis,Aleppo,Aleppo,Raqqa,Raqqa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tripolis,Tripolis,Homs,Homs,Palmyra,Palmyra
