,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sankt Petersburg,,,,,,,,,,,,,,,,,,,,
8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narwa,,,,,,,,,,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reval,Reval,Wesenburg,Narwa,Johannstadt,,,,,,,,,,,,,,,,,,,,,
10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hapsal,Reval,Dorpat,Dorpat,,,,Nowgorod,,,,,,,,,,,,,,,,,,,
11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arensburg,,Pernau,Pernau,Dorpat,Dorpat,,,,,,,,,,,,,,,,,,,,,,,
12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lemsal,Walk,Walk,,Pleskau,,,,,,,,,,,,,,,,,,,,,
13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windau,,,Lemsal,Wenden,Wenden,Rositten,Pleskau,,,,,,,,,,,,,,,,,,,,,
14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viborg,Kolding,,,Kopenhagen,,,,,,,,,,,Windau,Windau,Mitau,Riga,Riga,Kokenhusen,Kokenhusen,Rositten,Ostrow,Ostrow,,,,,,,,,,,,,,,,,,,,
15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hadersleben,,,,Kopenhagen,,,,,,,,,,,Libau,Goldingen,Mitau,Mitau,Bauske,Kokenhusen,Dunaburg,Dunaburg,Ostrow,Ostrow,,,,,,,,,,,,,,,,,,,,
16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribe,Schleswig,,,Kopenhagen,,,,,,,,,,,,Memel,Tauroggen,Schaulen,Schaulen,Wilkomir,Bauske,Dunaburg,Dunaburg,Polotsk,Polotsk,,,,,,,,,,,,,,,,,,,,
17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Husum,Kiel,,,,,,,,,,,,,,Memel,Tauroggen,Tauroggen,Kedanen,Wilkomir,Wilomir,Swenziany,Swenziany,Polotsk,Polotsk,,,,,,,,,,,,,,,,,,,,
18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Groningen,Groningen,Aurich,,Hamburg,Kiel,L&#252;beck,,Rostock,Stralsund,,,,,,,,,,Tilsit,Tilsit,Goldap,Kedanen,Kauen,Wilna,Wilna,,,,,,,,,,,,,,,,,,,,,,,
19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amsterdam,,Zwolle,Zwolle,Oldenburg,Bremen,Hamburg,Hamburg,L&#252;beck,Wismar,Rostock,Greifswald,,,,Stolp,Lauenburg,Putzig,,K&#246;nigsberg,K&#246;nigsberg,Wehlau,Wehlau,Goldap,Kauen,Kauen,Wilna,Wilna,,,,,,,,,,,,,,,,,,,,,,,
20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Der Haag,Amsterdam,Amsterdam,Arnheim,Enschede,Oldenburg,Bremen,Verden,L&#252;neburg,L&#252;neburg,Schwerin,Schwerin,Neubrandenburg,Stettin,Stettin,Kolberg,Stolp,Butow,Danzig,Danzig,Elbing,Allenstein,Allenstein,,Lyck,Olita,Olita,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antorf,Antorf,Utrecht,Utrecht,Nimwegen,M&#252;nster,Osnabr&#252;ck,Minden,Hannover,Celle,Salzwedel,Stendal,Havelberg,Oranienburg,Stettin,Stettin,Deutsch Krone,Deutsch Krone,Flatow,Bromberg,Marienwerden,Osterode,Soldau,Soldau,Lyck,Lyck,Grodno,Grodno,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalen,D&#252;nkirchen,Br&#252;gge,Gent,Br&#252;ssel,Br&#252;ssel,Maastricht,Essen,M&#252;nster,Osnabr&#252;ck,Minden,Hannover,Brunswick,Magdeburg,Magdeburg,Brandenburg,Berlin,Berlin,Landsberg,Landsberg,Deutsch Krone,Gnesen,Bromberg,Thorn,Thorn,Zichenau,Pultusk,Pultusk,Bialystok,Grodno,Grodno,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boulogne,Atrecht,Ryssel,Gent,Br&#252;ssel,Maastricht,Aachen,K&#246;ln,Dortmund,Paderborn,Paderborn,Brunswick,Brunswick,Magdeburg,Magdeburg,Wittenberg,J&#252;terbog,Frankfurt an der Oder,Landsberg,Landsberg,Posen,Posen,Dobrin,Dobrin,Plock,Plock,Pultusk,Pultusk,Bialystok,Bialystok,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stadt des Abtes,Amiens,Kambryk,Bergen,Karolingen,L&#252;ttich,Aachen,K&#246;ln,Koblenz,Marburg,Kassel,Kassel,G&#246;ttingen,Halle,Halle,Leipzig,Wittenberg,Frankfurt an der Oder,Glogau,Glogau,Posen,Konin,Konin,Dobrin,Plozk,Warschau,Warschau,Schedlitz,Schedlitz,Brest Litovski,Brest Litovski,,,,,,,,,,,,,,,,,,,,,,,,,
