,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onega,,,,,,,,,,,,,Arkhangelsk,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sankt-Mikhel,Usikila,Usikila,,Onega,,,Kholmogory,,,,,,,,,,Dibozh,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sankt-Mikhel,,Usikila,Robolsk,Robolsk,,,Kholmogory,,,,,,,Piskoy,,Varoms,Dibozh,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tavastegus,,,,,Sankt-Mikhel,,,,,,Zaborskaya,,Zaborskaya,,,,,Shenkursk,,,Piskoy,Varoms,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vyborg,,,,,Povenets,,Zaborskaya,,Pudoga,Pudoga,Kargopol,,,Shenkursk,Krasnaborsk,,,Ust,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaby,Kaby,,,,,,,,,,Povenets,,,Beloozero,Beloozero,,Pudoga,,Kargopol,,,Krasnaborsk,,Ust,Ust,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaby,,,,,,,,,Shemensk,Vytegra,Vytegra,,,,Beloozero,Vologda,Vologda,Vologda,Belsk,Belsk,Yarensk,Yarensk,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ladoga,,,Shemensk,Vytegra,Vytegra,,,,,Vologda,Vologda,,Galich,Galich,Yarensk,,,,,,Cherdyn
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revel,Revel,Yuryev,Narva,Narva,Novgorod,Novgorod,Novgorod,,,Gliznets,Gliznets,,,Ustyuzhna,,Vologda,Yaroslavl,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gapsal,Gapsal,Yuryev,Yuryev,,,Novgorod,Novgorod,Novgorod,Kresttsy,,Gliznets,Gliznets,,,Ustyuzhna,,Ves Yogonskaya,,Yaroslavl,,Nizhniy Novgorod,Nizhniy Novgorod,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ezel,,Pernov,Pernov,Gdov,,,,Novgorod,,,Kresttsy,Kresttsy,Tver,Korcheva,Korcheva,,,Ves Yogonskaya,Ves Yogonskaya,Yaroslavl,Yaroslavl,Yaroslavl,Nizhniy Novgorod,Nizhniy Novgorod,Yaransk,Kazan,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pernov,Gdov,Gdov,,Pleskov,Lugov,,Sopki,Sopki,Tver,Tver,Tver,Korcheva,Kortcheva,Sukovo,Mologa,Mologa,,,,,Yaransk,Yaransk,Kazan,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riga,Gdov,Pleskov,Pleskov,Pleskov,Lugov,,Sopki,Sopki,Zubtsov,Tver,Tver,Klin,Uglich,Uglich,Mologa,Mologa,,,Shuya,Shuya,,,Kazan,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vindava,,,Riga,Riga,Mitava,Pleskov,Pleskov,Rusa,Rusa,Rzheva,Rzheva,Kholm,Zubtsov,Zubtsov,,Klin,Uglich,,Vladimir,Vladimir,Suzdal,Suzdal,Inkokanov,Inkokanov,Vasil,Spassk,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vindava,,,,Volmar,Volmar,Yakobshtadt,Yakobshtadt,Rusa,Rusa,Rzheva,Rzheva,Kholm,Kholm,Belov,Perikina,Moskva,Moskva,Moskva,Ryazan,Vladimir,Murom,Murom,Inkokanov,Saransk,Saransk,Spassk,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Memel,Memel,Kovna,Kovna,Volmar,Volmar,Yakobshtadt,Yakobshtadt,Pokrov,Polotsk,Polotsk,Vishnev,Vishnev,Vitebsk,Belov,Perikina,Moskva,Moskva,Moskva,Ryazan,Ryazan,Spassk,Spassk,Kozlov,Kozlov,Saransk,Penza,,Samara,Samara
