,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reval,Reval,Rakvere,Narva,Ivangorodas,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hapsalu,Reval,Tartu,Tartu,,,,Naugardas,Naugardas,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuresare,,Pernu,Pernu,Tartu,Tartu,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limbaziai,Valka,Valka,,Pskovas,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventspilis,,,Limbaziai,Cecys,Cesys,Rezekne,Pskovas,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventspilis,Ventspilis,Jelgava,Ryga,Ryga,Koknese,Koknese,Rezekne,Astravas,Astravas,Didieji Lukai,Didieji Lukai,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liepoja,Kuldyga,Jelgava,Jelgava,Bauska,Koknese,Daugpilis,Daugpilis,Astravas,Astravas,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klaipeda,Taurage,Siauliai,Siauliai,Vilkmerge,Bauska,Daugpilis,Daugpilis,Polockas,Polockas,Vitebskas,Vitebskas,,,,,,,Maskva,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klaipeda,Taurage,Taurage,Kedainiai,Vilkmerge,Vilkmerge,Swieciany,Swiecieany,Polockas,Polockas,Vitebskas,Vitebskas,Orsa,Orsa,Smolenskas,Smolenskas,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liubekas,,,,,,,,,,,,,Tilze,Tilze,Gelupe,Kedainiai,Kaunas,Vilnius,Vilnius,Glubokas,Glubokas,Barysavas,Barysavas,Toloczyn,Orsa,Orsa,Smolenskas,Smolenskas,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liubekas,Liubekas,,,,,,Slupskas,Lemborkas,Puckas,,Karaliaucius,Karaliaucius,Znamenskas,Znamenskas,Gelupe,Kaunas,Kaunas,Vilnius,Vilnius,Maladecina,Maladecina,Barysavas,Barysavas,Toloczyn,Mogiliavas,Mogiliavas,,Roslavlis,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scecinas,Scecinas,Kolobzegas,Slupskas,Bytow,Gdanskas,Gdanskas,Elbingas,Elbingas,Dzialdovas,,Lukas,Alytus,Alytus,Lyda,Lyda,Valazinas,Minskas,Minskas,Bialynichy,Bialynichy,Mogiliavas,Mogiliavas,,Roslavlis,Roslavlis,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scecinas,Scecinas,Valcas,Valcas,Zlotovas,Bydgoscius,Kvidzynas,Kvidzynas,Dzialdovas,Dzialdovas,Lukas,Lukas,Gardinas,Gardinas,Naugardukas,Naugardukas,Valazinas,Minskas,Minskas,Babruiskas,Babruiskas,,Gomelis,Gomelis,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gozuvas,Gozuvas,Valcas,Gnieznas,Bydgoscius,Torun,Torun,Cehanovas,Pultuskas,Pultuskas,Balostoge,Gardinas,Gardinas,Naugardukas,Naugardukas,Nesvyzius,Nesvyzius,Sluckas,Sluckas,Babruiskas,Recyca,Gomelis,Gomelis,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frankfurtas prie Oderio,Gozuvas,Gozuvas,Poznane,Poznane,Dobzina,Dobzina,Plockas,Plockas,Pultuskas,Pultuskas,Balostoge,Balostoge,Bielskas,Slanimas,Slanimas,Kleckas,Kleckas,Sluckas,Sluckas,Svetlahorskas,Recyca,Recyca,Lubecas,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frankfurtas prie Oderio,Gloguvas,Gloguvas,Poznane,Koninas,Koninas,Dobzina,Plockas,Varsuva,Varsuva,Sedlce,Sedlce,Brestas,Brestas,Pruzanai,Pruzanai,Pinskas,Pinskas,Davyd Haradokas,Davyd Haradokas,Mozyrius,Mozyrius,Lubecas,Lubecas,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hirsberk,Gloguvas,Vroclavas,Vroclavas,Kalisas,Kalisas,Piotrkow,Pjotrkova,Varsuva,Varsuva,Sedlce,Sedlce,Brestas,Brestas,Pruzanai,Pruzanai,Pinskas,Pinskas,Davyd Haradokas,Davyd Haradokas,Mozyrius,Mozyrius,Cernobylis,Cernigovas,Cernigovas,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hirsberk,Hirsberk,Vroclavas,Vroclavas,Opole,Opole,Censtakava,Pjotrkova,Kliszow,Sandomeza,Sandomeza,Liublinas,Chelmas,Voluines Vladimiras,Kowel,Kowel,Luckas,Dubnas,Dubnas,Voluines Naugardas,Korosten,Cernobylis,Cernobylis,Cernigovas,Cernigovas,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klodzko,Klodzko,Opole,Opole,Censtakava,Kliszow,Kliszow,Sandomeza,Sandomeza,Liublinas,Zamoscas,Zamoscas,Voluines Vladimiras,Luckas,Luckas,Dubnas,Dubnas,Voluines Naugardas,Korosten,Korosten,Kijevas,Kijevas,Niecynas,Niecynas,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klodzko,,Opawa,Cesinas,Cesinas,Krokuva,Krokuva,Tarnuvas,Tarnuvas,Psemislas,Psemislas,Lvovas,Lvovas,Kremenecas,Kremenecas,Rivne,Rivne,Zytomyras,Zytomyras,Bila Cerkva,Kijevas,Kijevas,Pereiaslavas,Niecynas,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opawa,Cesinas,Cesinas,Krokuva,Krokuva,Tarnuvas,Tarnuvas,Psemislas,Psemislas,Lvovas,Lvovas,Podhajce,Podhajce,Tarnopol,Proskurov,Zytomyras,Zytomyras,Bila Cerkva,Bila Cerkva,Pereiaslavas,Pereiaslavas,Cerkasai,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naujasis Targas,,,,,Dolyna,Stanyslaviv,Stanyslaviv,Buczacz,Buczacz,Proskurov,Bar,Vinytsia,Vinytsia,Korsun,Korsun,Cerkasai,Cerkasai,Kremencukas,Kremencukas,,,,,,,,,,,
