Olafsvik,Reykjavik,Reykjavik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trondheim,,,,Duved,,Ostersund,Hammarstrand,Sundsvall,,,,,Wasa,Wasa,Alajarvi,Alajarvi,,Jyvaskyla,,Kuopio,Kuopio,Vartisila,Vartisila,,,,,,,,,,,,,,,,,,,
Olafsvik,Reykjavik,Reykjavik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Molde,Kristiansund,Trondheim,,,Hede,Hede,Sveg,Ramsjo,Sundsvall,Sundsvall,,,,,Kristinestad,Jalasjarvi,Jalasjarvi,Jamsa,Jyvaskyla,Jyvaskyla,Sankt Michel,Nyslott,,Sordavala,Sordavala,Suojarvi,Suojarvi,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alesund,Alesund,Molde,,,,,Trysil,Sarna,Mora,Ramsjo,Hudiksvall,,,,,,Bjorneborg,Tammerfors,Tammerfors,Jamsa,,Sankt Michel,Sankt Michel,,Nyslott,Sordavala,,Salmi,Salmi,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sogndalsfjora,Sogndalsfjora,,,,,Hamar,Elverum,Likenas,Mora,Falun,Gavle,,,,,,Bjorneborg,Tammerfors,,Tavastehus,,Verela,Villmanstrand,,Kexholm,,,,Olonets,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bergen,Bergen,,,Sokna,Kristiania,Eidsvoll,Arvika,Arvika,Ludvika,Falun,Gavle,Gavle,,,,,Nystad,Abo,Tavastehus,Tavastehus,Verela,Verela,Villmanstrand,Vyborg,Kexholm,,,,Olonets,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bergen,,Skien,Drammen,Kristiania,Kristiania,Amal,Karlstad,Karlstad,Ludvika,Sala,Uppsala,Osthammar,,,,,Abo,Abo,Helsingfors,Helsingfors,Fredrikshamn,Fredrikshamn,,Vyborg,Noteborg,,,Ladoga,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stavanger,,Dalen,Skien,Tonsberg,,Fredriksstad,Amal,,Karlskoga,Kopparberg,Vasteras,Uppsala,Stockholm,,Kastelholm,,,,Hango,Hango,,,,,,Nyen,,Ladoga,Ladoga,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stavanger,Kristiansand,Kristiansand,,,Stromstad,,,Mariestad,Orebro,,,Stockholm,,,,,,,,,,,,Ivangorod,Nyen,Liisila,Stolbovo,Stolbovo,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kristiansand,,,,Lysekil,Lidkoping,Mariestad,,Linkoping,Norrkoping,Nykoping,,,,,,,,,Reval,Reval,Wesenburg,Narva,Ivangorod,Koprina,Liisila,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goteborg,Skovde,,Linkoping,Soderkoping,,,,,,,,,Hapsal,Reval,Dorpat,Dorpat,,,,Novgorod,Novgorod,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fredrikshavn,,,Goteborg,Boras,Jonkoping,Vimmerby,Vastervik,,,,Slite,,,Arensburg,,Parnau,Parnau,Dorpat,Dorpat,,,,,Novgorod,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thisted,Pandrup,Alborg,,,Varberg,Boras,Vaxjo,Vaxjo,Kalmar,,,Visby,,,,,,,Lemsal,Valk,Valk,,Pleskov,,,,,,,,,,,,,,,,,,,,,
